,UNLAWFUL_ENTRY,Count
0,ANSTEAD,10
1,ASHGROVE,214
2,AUCHENFLOWER,143
3,BARDON,108
4,BELLBOWRIE,38
5,BROOKFIELD,31
6,CHAPEL HILL,76
7,CHELMER,73
8,CORINDA,119
9,ENOGGERA,75
10,FERNY GROVE,57
11,FIG TREE POCKET,66
12,GRACEVILLE,91
13,INDOOROOPILLY,186
14,JAMBOREE HEIGHTS,25
15,JINDALEE,82
16,KARANA DOWNS,43
17,KENMORE,97
18,KENMORE HILLS,16
19,KHOLO,8
20,MIDDLE PARK,31
21,MILTON,110
22,MOGGILL,32
23,MOUNT COOT THA,5
24,MOUNT CROSBY,10
25,MOUNT OMMANEY,37
26,OXLEY,182
27,PINJARRA HILLS,6
28,PULLENVALE,35
29,RIVERHILLS,44
30,SAINT LUCIA,145
31,SHERWOOD,107
32,SINNAMON PARK,144
33,ST LUCIA,17
34,TARINGA,136
35,THE GAP,141
36,TOOWONG,228
37,UPPER BROOKFIELD,6
38,UPPER KEDRON,22
39,WESTLAKE,35
40,ACACIA RIDGE,239
41,ALGESTER,97
42,ANNERLEY,288
43,ARCHERFIELD,47
44,BURBANK,8
45,CALAMVALE,228
46,COOPERS PLAINS,163
47,DARRA,123
48,DOOLANDELLA,49
49,DREWVALE,56
50,DURACK,133
51,DUTTON PARK,39
52,EIGHT MILE PLAINS,290
53,ELLEN GROVE,63
54,FAIRFIELD,75
55,FOREST LAKE,419
56,GREENSLOPES,147
57,GREESNLOPES,1
58,HEATHWOOD,36
59,HOLLAND PARK,119
60,HOLLAND PARK WEST,96
61,INALA,443
62,KARAWATHA,5
63,KURABY,124
64,LARAPINTA,2
65,MACGREGOR,122
66,MACKENZIE,20
67,MANSFIELD,90
68,MOOROOKA,214
69,MOUNT GRAVATT,69
70,MOUNT GRAVATT EAST,160
71,NATHAN,28
72,PALLARA,10
73,PARKINSON,93
74,RICHLANDS,61
75,ROBERTSON,118
76,ROCHEDALE,35
77,ROCKLEA,135
78,RUNCORN,348
79,SALISBURY,160
80,SEVENTEEN MILE ROCKS,38
81,STRETTON,88
82,SUMNER,25
83,SUNNYBANK,437
84,SUNNYBANK HILLS,310
85,TARRAGINDI,130
86,TENNYSON,16
87,UPPER MOUNT GRAVATT,205
88,WACOL,40
89,WILLAWONG,18
90,WISHART,87
91,YEERONGPILLY,59
92,YERONGA,144
93,BRISBANE CITY,586
94,KANGAROO POINT,234
95,PETRIE TERRACE,46
96,NEW FARM,237
97,WOOLLOONGABBA,188
98,NEWSTEAD,60
99,FORTITUDE VALLEY,349
100,PADDINGTON,195
101,RED HILL,106
102,BOWEN HILLS,130
103,HIGHGATE HILL,141
104,WEST END,209
105,EAST BRISBANE,129
106,SPRING HILL,289
107,SOUTH BRISBANE,250
108,TENERIFFE,86
109,HERSTON,62
110,KELVIN GROVE,112
111,ALBION,107
112,ASCOT,104
113,CLAYFIELD,183
114,ALDERLEY,107
115,HAMILTON,138
116,ASPLEY,267
117,BALD HILLS,86
118,BRACKEN RIDGE,214
119,BANYO,117
120,NORTHGATE,145
121,BOONDALL,137
122,BRIDGEMAN DOWNS,93
123,BRIGHTON,97
124,CARSELDINE,104
125,CHERMSIDE,346
126,CHERMSIDE WEST,78
127,HENDRA,61
128,DEAGON,56
129,GAYTHORNE,92
130,EVERTON PARK,191
131,GEEBUNG,129
132,ZILLMERE,212
133,GRANGE,50
134,GORDON PARK,47
135,KEDRON,205
136,STAFFORD,159
137,KEPERRA,142
138,MITCHELTON,190
139,LUTWYCHE,79
140,MCDOWALL,58
141,NEWMARKET,119
142,VIRGINIA,105
143,NUDGEE,35
144,NUDGEE BEACH,2
145,NUNDAH,288
146,EAGLE FARM,54
147,PINKENBA,22
148,BRISBANE AIRPORT,8
149,SANDGATE,74
150,SHORNCLIFFE,27
151,STAFFORD HEIGHTS,133
152,TAIGUM,136
153,FITZGIBBON,64
154,WAVELL HEIGHTS,161
155,WILSTON,83
156,WINDSOR,186
157,WOOLOOWIN,111
158,KALINGA,3
