,Medium,Count
0,ANSTEAD,31
1,ASHGROVE,620
2,AUCHENFLOWER,252
3,BARDON,174
4,BELLBOWRIE,148
5,BROOKFIELD,40
6,CHAPEL HILL,130
7,CHELMER,83
8,CHUWAR,8
9,CORINDA,294
10,ENOGERRA,1
11,ENOGGERA,286
12,FERNY GROVE,216
13,FIG TREE POCKET,70
14,GRACEVILLE,253
15,INDOOROOPILLY,1902
16,JAMBOREE HEIGHTS,81
17,JINDALEE,469
18,KARANA DOWNS,64
19,KENMORE,415
20,KENMORE HILLS,17
21,KHOLO,10
22,MIDDLE PARK,72
23,MILTON,555
24,MOGGILL,49
25,MOUNT COOT THA,33
26,MOUNT CROSBY,29
27,MOUNT OMMANEY,547
28,OXLEY,928
29,PINJARRA HILLS,9
30,PULLENVALE,27
31,RIVERHILLS,154
32,SAINT LUCIA,433
33,SHERWOOD,245
34,SINNAMON PARK,430
35,ST LUCIA,88
36,TARINGA,243
37,THE GAP,313
38,TOOWONG,1160
39,UPPER BROOKFIELD,5
40,UPPER KEDRON,29
41,WESTLAKE,73
42,ACACIA RIDGE,1157
43,ALGESTER,255
44,ANNERLEY,1058
45,ARCHERFIELD,268
46,BURBANK,40
47,CALAMVALE,1018
48,CARINA HEIGHTS,1
49,COOPERS PLAINS,553
50,DARRA,400
51,DOOLANDELLA,149
52,DREWVALE,132
53,DURACK,469
54,DUTTON PARK,204
55,EIGHT MILE PLAINS,687
56,ELLEN GROVE,151
57,FAIRFIELD,278
58,FOREST LAKE,1182
59,FORESTDALE,1
60,GREENSLOPES,821
61,HEATHWOOD,107
62,HOLLAND PARK,292
63,HOLLAND PARK WEST,406
64,INALA,2242
65,KARAWATHA,89
66,KURABY,284
67,KURBY,2
68,LAPARINTA,1
69,LARAPINTA,93
70,MACGREGOR,338
71,MACKENZIE,197
72,MANSFIELD,262
73,MOOROOKA,947
74,MOUNT GRAVATT,468
75,MOUNT GRAVATT EAST,462
76,NATHAN,188
77,PALLARA,15
78,PARKINSON,357
79,RICHLANDS,605
80,ROBERTSON,123
81,ROCHEDALE,223
82,ROCKLEA,1113
83,RUNCORN,528
84,SALISBURY,565
85,SEVENTEEN MILE ROCKS,166
86,STRETTON,100
87,SUMNER,312
88,SUNNYBANK,1395
89,SUNNYBANK HILLS,1024
90,TARRAGINDI,255
91,TENNYSON,57
92,UPPER MOUNT GRAVATT,2317
93,WACOL,421
94,WILLAWONG,94
95,WISHART,316
96,YEERONGPILLY,105
97,YERONGA,403
98,BRISBANE CITY,9191
99,SPRING HILL,960
100,BOWEN HILLS,849
101,FORTITUDE VALLEY,4111
102,NEWSTEAD,572
103,KELVIN GROVE,472
104,PADDINGTON,347
105,HIGHGATE HILL,336
106,WEST END,934
107,WOOLLOONGABBA,1112
108,KANGAROO POINT,822
109,SOUTH BRISBANE,2547
110,HERSTON,412
111,EAST BRISBANE,555
112,PETRIE TERRACE,232
113,NEW FARM,911
114,SOUTHBANK,8
115,RED HILL,341
116,TENERIFFE,215
117,SOUTH BANK,4
118,ALBION,360
119,HAMILTON,558
120,WINDSOR,818
121,ASCOT,357
122,CLAYFIELD,421
123,ALDERLEY,237
124,ASPLEY,1391
125,CHERMSIDE,3550
126,GEEBUNG,357
127,BALD HILLS,568
128,BRACKEN RIDGE,831
129,BANYO,1313
130,NORTHGATE,291
131,BOONDALL,328
132,DEAGON,516
133,FITZGIBBON,163
134,BRIDGEMAN DOWNS,131
135,BRIGHTON,318
136,CARSELDINE,594
137,CHERMSIDE WEST,175
138,WAVELL HEIGHTS,297
139,CHERMISIDE,1
140,WOOLOOWIN,248
141,GAYTHORNE,154
142,EVERTON PARK,472
143,STAFFORD HEIGHTS,261
144,ZILLMERE,634
145,GRANGE,152
146,WILSTON,151
147,HENDRA,190
148,GORDON PARK,110
149,KEDRON,652
150,STAFFORD,724
151,KEPERRA,456
152,MITCHELTON,975
153,LUTWYCHE,451
154,MCDOWALL,116
155,NEWMARKET,426
156,NUDGEE,85
157,NUDGEE BEACH,13
158,NUNDAH,1688
159,EAGLE FARM,202
160,PINKENBA,110
161,BRISBANE AIRPORT,798
162,AIRPORT VILLAGE,1
163,SHORNCLIFFE,83
164,SANDGATE,455
165,TAIGUM,468
166,VIRGINIA,708
167,KALINGA,18
168,GROVELY,2
